STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,CH04,Zürich,2020,,1440,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,CH05,Ostschweiz,2020,,4070,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,CH06,Zentralschweiz,2020,,3320,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,CH07,Ticino,2020,,470,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,CY,Cyprus,2020,,34050,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,CY00,Kýpros,2020,,34050,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,CZ,Czechia,2020,,28910,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,CZ01,Praha,2020,,120,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,CZ02,Střední Čechy,2020,,3690,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,CZ03,Jihozápad,2020,,5240,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,CZ04,Severozápad,2020,,1960,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,CZ05,Severovýchod,2020,,4440,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,CZ06,Jihovýchod,2020,,8390,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,CZ07,Střední Morava,2020,,3140,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,CZ08,Moravskoslezsko,2020,,1940,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE,Germany,2020,,262560,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE11,Stuttgart,2020,,12430,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE12,Karlsruhe,2020,,4410,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE13,Freiburg,2020,,11990,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE14,Tübingen,2020,,10260,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE21,Oberbayern,2020,,22600,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE22,Niederbayern,2020,,14340,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE23,Oberpfalz,2020,,10530,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE24,Oberfranken,2020,,7220,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE25,Mittelfranken,2020,,8230,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE26,Unterfranken,2020,,7860,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE27,Schwaben,2020,,13760,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE30,Berlin,2020,,50,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE40,Brandenburg,2020,,5410,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE50,Bremen,2020,,130,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE60,Hamburg,2020,,590,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE71,Darmstadt,2020,,4940,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE72,Gießen,2020,,3830,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE73,Kassel,2020,,6360,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE80,Mecklenburg-Vorpommern,2020,,4780,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE91,Braunschweig,2020,,4090,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE92,Hannover,2020,,6070,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE93,Lüneburg,2020,,9890,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DE94,Weser-Ems,2020,,15300,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DEA1,Düsseldorf,2020,,4820,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DEA2,Köln,2020,,5320,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DEA3,Münster,2020,,10350,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DEA4,Detmold,2020,,7220,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DEA5,Arnsberg,2020,,5890,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DEB1,Koblenz,2020,,5310,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DEB2,Trier,2020,,4090,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DEB3,Rheinhessen-Pfalz,2020,,6640,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DEC0,Saarland,2020,,1090,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DED2,Dresden,2020,,2510,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DED4,Chemnitz,2020,,2760,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DED5,Leipzig,2020,,1230,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DEE0,Sachsen-Anhalt,2020,,4340,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DEF0,Schleswig-Holstein,2020,,12190,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DEG0,Thüringen,2020,,3710,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DK,Denmark,2020,,37090,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DK01,Hovedstaden,2020,,2190,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DK02,Sjælland,2020,,5850,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DK03,Syddanmark,2020,,10520,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DK04,Midtjylland,2020,,11240,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,DK05,Nordjylland,2020,,7290,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,EE,Estonia,2020,,11370,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,EE00,Eesti,2020,,11370,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,EL,Greece,2020,,530680,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,EL30,Attiki,2020,,12340,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,EL41,Voreio Aigaio,2020,,22980,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,EL42,Notio Aigaio,2020,,15920,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,EL43,Kriti,2020,,74130,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,EL51,"Anatoliki Makedonia, Thraki",2020,,36240,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,EL52,Kentriki Makedonia,2020,,68810,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,EL53,Dytiki Makedonia,2020,,15380,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,EL54,Ipeiros,2020,,23290,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,EL61,Thessalia,2020,,45760,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,EL62,Ionia Nisia,2020,,20140,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,EL63,Dytiki Elláda,2020,,69290,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,EL64,Sterea Elláda,2020,,54420,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,EL65,Peloponnisos,2020,,71940,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,ELZZ,Extra-Regio NUTS 2,2020,,50,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,ES,Spain,2020,,914870,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,ES11,Galicia,2020,,75450,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,ES12,Principado de Asturias,2020,,15810,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,ES13,Cantabria,2020,,7650,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,ES21,País Vasco,2020,,11280,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,ES22,Comunidad Foral de Navarra,2020,,12930,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,ES23,La Rioja,2020,,10800,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,ES24,Aragón,2020,,42040,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,ES30,Comunidad de Madrid,2020,,7740,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,ES41,Castilla y León,2020,,84870,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,ES42,Castilla-La Mancha,2020,,112890,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,ES43,Extremadura,2020,,64280,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,ES51,Cataluña,2020,,54970,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,ES52,Comunitat Valenciana,2020,,100260,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,ES53,Illes Balears,2020,,10020,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,ES61,Andalucía,2020,,267720,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,ES62,Región de Murcia,2020,,24800,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,ES64,Ciudad de Melilla,2020,,,,,,C,confidential
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,ES70,Canarias,2020,,11390,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2020,,9067300,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,EU27_2007,European Union - 27 countries (2007-2013),2020,,8923380,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,EU27_2020,European Union - 27 countries (from 2020),2020,,9067300,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,EU28,European Union - 28 countries (2013-2020),2020,,9067300,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,FI,Finland,2020,,45630,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,FI19,Länsi-Suomi,2020,,17180,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,FI1B,Helsinki-Uusimaa,2020,,3020,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,FI1C,Etelä-Suomi,2020,,10830,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,FI1D,Pohjois- ja Itä-Suomi,2020,,14240,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,FI20,Åland,2020,,360,,,,,
dataflow,ESTAT:EF_M_AGE_SH(1.0),Share of holdings by age of farm managers and NUTS 2 region,A,Annual,TOTAL,Total,HLD,Holding,FR,France,2020,,393030,,,,,
