DATAFLOW,LAST UPDATE,freq,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,BE31:Prov. Brabant wallon,2020,1030,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,BE32:Prov. Hainaut,2020,3910,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,BE33:Prov. Liège,2020,3100,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,BE34:Prov. Luxembourg (BE),2020,2340,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,BE35:Prov. Namur,2020,2330,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,BG:Bulgaria,2020,132740,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,BG31:Severozapaden,2020,15230,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,BG32:Severen tsentralen,2020,14880,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,BG33:Severoiztochen,2020,16350,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,BG34:Yugoiztochen,2020,18360,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,BG41:Yugozapaden,2020,25190,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,BG42:Yuzhen tsentralen,2020,42740,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,CH:Switzerland,2020,19730,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,CH01:Région lémanique,2020,2680,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,CH02:Espace Mittelland,2020,6110,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,CH03:Nordwestschweiz,2020,1630,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,CH04:Zürich,2020,1440,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,CH05:Ostschweiz,2020,4070,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,CH06:Zentralschweiz,2020,3320,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,CH07:Ticino,2020,470,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,CY:Cyprus,2020,34050,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,CY00:Kýpros,2020,34050,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,CZ:Czechia,2020,28910,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,CZ01:Praha,2020,120,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,CZ02:Střední Čechy,2020,3690,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,CZ03:Jihozápad,2020,5240,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,CZ04:Severozápad,2020,1960,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,CZ05:Severovýchod,2020,4440,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,CZ06:Jihovýchod,2020,8390,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,CZ07:Střední Morava,2020,3140,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,CZ08:Moravskoslezsko,2020,1940,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE:Germany,2020,262560,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE11:Stuttgart,2020,12430,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE12:Karlsruhe,2020,4410,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE13:Freiburg,2020,11990,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE14:Tübingen,2020,10260,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE21:Oberbayern,2020,22600,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE22:Niederbayern,2020,14340,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE23:Oberpfalz,2020,10530,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE24:Oberfranken,2020,7220,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE25:Mittelfranken,2020,8230,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE26:Unterfranken,2020,7860,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE27:Schwaben,2020,13760,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE30:Berlin,2020,50,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE40:Brandenburg,2020,5410,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE50:Bremen,2020,130,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE60:Hamburg,2020,590,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE71:Darmstadt,2020,4940,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE72:Gießen,2020,3830,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE73:Kassel,2020,6360,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE80:Mecklenburg-Vorpommern,2020,4780,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE91:Braunschweig,2020,4090,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE92:Hannover,2020,6070,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE93:Lüneburg,2020,9890,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DE94:Weser-Ems,2020,15300,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DEA1:Düsseldorf,2020,4820,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DEA2:Köln,2020,5320,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DEA3:Münster,2020,10350,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DEA4:Detmold,2020,7220,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DEA5:Arnsberg,2020,5890,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DEB1:Koblenz,2020,5310,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DEB2:Trier,2020,4090,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DEB3:Rheinhessen-Pfalz,2020,6640,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DEC0:Saarland,2020,1090,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DED2:Dresden,2020,2510,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DED4:Chemnitz,2020,2760,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DED5:Leipzig,2020,1230,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DEE0:Sachsen-Anhalt,2020,4340,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DEF0:Schleswig-Holstein,2020,12190,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DEG0:Thüringen,2020,3710,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DK:Denmark,2020,37090,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DK01:Hovedstaden,2020,2190,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DK02:Sjælland,2020,5850,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DK03:Syddanmark,2020,10520,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DK04:Midtjylland,2020,11240,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,DK05:Nordjylland,2020,7290,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,EE:Estonia,2020,11370,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,EE00:Eesti,2020,11370,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,EL:Greece,2020,530680,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,EL30:Attiki,2020,12340,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,EL41:Voreio Aigaio,2020,22980,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,EL42:Notio Aigaio,2020,15920,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,EL43:Kriti,2020,74130,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,"EL51:Anatoliki Makedonia, Thraki",2020,36240,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,EL52:Kentriki Makedonia,2020,68810,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,EL53:Dytiki Makedonia,2020,15380,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,EL54:Ipeiros,2020,23290,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,EL61:Thessalia,2020,45760,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,EL62:Ionia Nisia,2020,20140,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,EL63:Dytiki Elláda,2020,69290,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,EL64:Sterea Elláda,2020,54420,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,EL65:Peloponnisos,2020,71940,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,ELZZ:Extra-Regio NUTS 2,2020,50,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,ES:Spain,2020,914870,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,ES11:Galicia,2020,75450,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,ES12:Principado de Asturias,2020,15810,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,ES13:Cantabria,2020,7650,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,ES21:País Vasco,2020,11280,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,ES22:Comunidad Foral de Navarra,2020,12930,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,ES23:La Rioja,2020,10800,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,ES24:Aragón,2020,42040,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,ES30:Comunidad de Madrid,2020,7740,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,ES41:Castilla y León,2020,84870,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,ES42:Castilla-La Mancha,2020,112890,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,ES43:Extremadura,2020,64280,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,ES51:Cataluña,2020,54970,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,ES52:Comunitat Valenciana,2020,100260,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,ES53:Illes Balears,2020,10020,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,ES61:Andalucía,2020,267720,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,ES62:Región de Murcia,2020,24800,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,ES64:Ciudad de Melilla,2020,,,C
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,ES70:Canarias,2020,11390,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,"EU:European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2020,9067300,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,EU27_2007:European Union - 27 countries (2007-2013),2020,8923380,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,EU27_2020:European Union - 27 countries (from 2020),2020,9067300,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,EU28:European Union - 28 countries (2013-2020),2020,9067300,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FI:Finland,2020,45630,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FI19:Länsi-Suomi,2020,17180,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FI1B:Helsinki-Uusimaa,2020,3020,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FI1C:Etelä-Suomi,2020,10830,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FI1D:Pohjois- ja Itä-Suomi,2020,14240,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FI20:Åland,2020,360,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FR:France,2020,393030,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FR10:Ile de France,2020,4280,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRB0:Centre — Val de Loire,2020,19200,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRC1:Bourgogne,2020,16060,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRC2:Franche-Comté,2020,6630,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRD1:Basse-Normandie,2020,16190,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRD2:Haute-Normandie,2020,7990,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRE1:Nord-Pas de Calais,2020,11120,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRE2:Picardie,2020,11450,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRF1:Alsace,2020,8700,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRF2:Champagne-Ardenne,2020,21740,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRF3:Lorraine,2020,9010,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRG0:Pays de la Loire,2020,25080,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRH0:Bretagne,2020,25580,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRI1:Aquitaine,2020,31190,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRI2:Limousin,2020,10320,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRI3:Poitou-Charentes,2020,18890,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRJ1:Languedoc-Roussillon,2020,24300,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRJ2:Midi-Pyrénées,2020,36660,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRK1:Auvergne,2020,17630,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRK2:Rhône-Alpes,2020,28170,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRL0:Provence-Alpes-Côte d’Azur,2020,17120,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRM0:Corse,2020,2830,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRY1:Guadeloupe,2020,5940,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRY2:Martinique,2020,2440,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRY3:Guyane,2020,5030,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRY4:La Réunion,2020,5660,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,FRY5:Mayotte,2020,3810,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,HR:Croatia,2020,143920,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,HR02:Panonska Hrvatska,2020,57840,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,HR03:Jadranska Hrvatska,2020,42800,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,HR05:Grad Zagreb,2020,1980,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,HR06:Sjeverna Hrvatska,2020,41300,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,HU:Hungary,2020,232060,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,HU11:Budapest,2020,1800,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,HU12:Pest,2020,15360,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,HU21:Közép-Dunántúl,2020,20140,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,HU22:Nyugat-Dunántúl,2020,21920,,
ESTAT:EF_M_AGE_SH(1.0),27/05/24 23:00:00,A:Annual,TOTAL:Total,HLD:Holding,HU23:Dél-Dunántúl,2020,27010,,
